Data,referencia,tipo_atividade,enviado_por,Idioma,arquivos_em,laudas,Início,Término,num_docs,tipo_documento,ano_planilha,mes_aba,mes_num
07/06/2022,14803,Revisão,Marcella,Inglês,Word - PDF,2211.0,10:05:00,10:40:00,0,Imposto de Renda,2022,Junho 2022,6
07/06/2022,14759,Revisão,Marcella,Português,Word - Imagem,2626.0,10:55:00,11:11:00,0,Diploma,2022,Junho 2022,6
07/06/2022,14792,CQ,Tati,Italiano,Word - Imagem,2721.0,11:18:00,11:39:00,0,Certidão de Nascimento ,2022,Junho 2022,6
07/06/2022,14799,CQ,Tati,Português,Word - Bicolunado,16506.0,11:45:00,13:19:00,0,Contrato Judicial,2022,Junho 2022,6
07/06/2022,14801,CQ,Tati,Italiano,Word - PDF,7076.0,14:00:00,14:50:00,0,Certidão Negativa Naturalidade,2022,Junho 2022,6
07/06/2022,14760,CQ,Tati,Inglês,Word - Imagem,5470.0,15:05:00,15:35:00,0,Histórico Escolar - Diploma,2022,Junho 2022,6
07/06/2022,14772,CQ,Tati,Português,Word - PDF,13675.0,16:00:00,16:45:00,0,Documento de transferência de posse,2022,Junho 2022,6
07/06/2022,14790,Revisão,Tati,Inglês,Word - PDF,1107.0,16:48:00,16:56:00,0,Certidão de Casamento,2022,Junho 2022,6
07/06/2022,14773,CQ,Tati,Italiano,Word - PDF,2606.0,17:05:00,17:13:00,0,Procuração,2022,Junho 2022,6
07/06/2022,14779,CQ,Tati,Português,Word - PDF,1110.0,17:15:00,17:33:00,0,Certidão de Casamento,2022,Junho 2022,6
08/06/2022,14791,Revisão,Marcella,Italiano,Word - PDF,3092.0,09:09:00,09:31:00,0,Certidão de Casamento,2022,Junho 2022,6
08/06/2022,14794,CQ,Marcella,Italiano,Word - PDF,8905.0,10:00:00,10:25:00,0,Certidão de Nascimento ,2022,Junho 2022,6
08/06/2022,14829,Revisão,Marcella,Português,Word - PDF,386.0,10:32:00,10:37:00,0,Declaração,2022,Junho 2022,6
08/06/2022,14808,CQ,Tati,Português,Word - PDF,1609.0,10:41:00,10:54:00,0,Certidão de Nascimento ,2022,Junho 2022,6
08/06/2022,14812,Revisão,Tati,Inglês,Word - PDF,1939.0,11:00:00,11:16:00,0,Certidão de Casamento,2022,Junho 2022,6
08/06/2022,14823,CQ,Tati,Inglês,Word - PDF,2174.0,11:18:00,11:32:00,0,Declaração de Matrícula,2022,Junho 2022,6
08/06/2022,14811,CQ,Tati,Português,Word - PDF,1005.0,11:34:00,11:40:00,0,Certificado de venda livre,2022,Junho 2022,6
08/06/2022,14799,CQ,Tati,Português,Word - Bicolunado,15976.0,11:50:00,13:09:00,0,Contrato Judicial,2022,Junho 2022,6
08/06/2022,14804,CQ,Júlia,Italiano,Word - PDF,4743.0,14:05:00,14:22:00,0,Procuração,2022,Junho 2022,6
08/06/2022,14843,CQ,Tati,Italiano,Word - PDF,4363.0,14:25:00,14:49:00,0,Procuração,2022,Junho 2022,6
08/06/2022,14817,CQ,Tati,Inglês,Word - Word,5754.0,14:52:00,15:07:00,0,Texto Publicitário,2022,Junho 2022,6
08/06/2022,14800,CQ,Tati,Português,Word - PDF,3026.0,15:16:00,15:36:00,0,Certidão de Casamento,2022,Junho 2022,6
08/06/2022,14617,CQ,Tati,Português,Word - PDF,49724.0,15:47:00,17:18:00,0,Pesquisa Científica,2022,Junho 2022,6
08/06/2022,14784,CQ,Tati,Italiano,Word - PDF,6219.0,17:31:00,17:48:00,0,Procuração,2022,Junho 2022,6
